rules,support,confidence,lift
{liquor (appetizer)dishes} => {bottled beer},0.000610066,0.857142857,10.64393939
{butterfemale sanitary products} => {whole milk},0.000508388,1,3.913649025
{liquorred/blush wine} => {bottled beer},0.001931876,0.904761905,11.23526936
{cerealsspecialty chocolate} => {other vegetables},0.000508388,0.833333333,4.306796287
{hamburger meatcereals} => {whole milk},0.000508388,0.833333333,3.261374188
{sugarcereals} => {whole milk},0.000610066,0.857142857,3.354556307
{curdcereals} => {whole milk},0.001016777,0.909090909,3.55786275
{cerealsbottled beer} => {whole milk},0.000610066,1,3.913649025
{brown breadcereals} => {whole milk},0.000610066,0.857142857,3.354556307
{buttercereals} => {whole milk},0.000813421,1,3.913649025
{cerealsfruit/vegetable juice} => {whole milk},0.000711744,0.875,3.424442897
{cerealsbottled water} => {whole milk},0.000508388,1,3.913649025
{tropical fruitcereals} => {whole milk},0.000915099,0.9,3.522284123
{yogurtcereals} => {whole milk},0.001728521,0.80952381,3.168192068
{jampot plants} => {whole milk},0.000508388,1,3.913649025
{sugarjam} => {whole milk},0.000610066,1,3.913649025
{jamwaffles} => {whole milk},0.000610066,0.857142857,3.354556307
{cream cheese jam} => {coffee},0.000508388,0.833333333,14.35347344
{jamnapkins} => {root vegetables},0.000610066,0.857142857,7.86380597
{jamnapkins} => {whole milk},0.000610066,0.857142857,3.354556307
{butterjam} => {whole milk},0.001016777,0.833333333,3.261374188
{dental carehygiene articles} => {whole milk},0.000508388,0.833333333,3.261374188
{vinegardetergent} => {other vegetables},0.000508388,0.833333333,4.306796287
{vinegardetergent} => {whole milk},0.000508388,0.833333333,3.261374188
{vinegarsugar} => {rolls/buns},0.000508388,0.833333333,4.530587802
{white breadpopcorn} => {fruit/vegetable juice},0.000508388,0.833333333,11.52719175
{butterpopcorn} => {whole milk},0.000508388,1,3.913649025
{butterpet care} => {whole milk},0.000508388,1,3.913649025
{detergentcandles} => {whole milk},0.000508388,0.833333333,3.261374188
{berriessoups} => {whole milk},0.000508388,0.833333333,3.261374188
{cream cheese soups} => {margarine},0.000508388,0.833333333,14.22887731
{cream cheese soups} => {other vegetables},0.000508388,0.833333333,4.306796287
{frozen vegetablessoups} => {other vegetables},0.000915099,0.818181818,4.2284909
{soupsbottled beer} => {whole milk},0.001118454,0.916666667,3.587511606
{brown breadsoups} => {other vegetables},0.000610066,1,5.168155544
{baking powderdog food} => {whole milk},0.000508388,0.833333333,3.261374188
{dog foodchocolate} => {whole milk},0.000508388,0.833333333,3.261374188
{frozen vegetablesdog food} => {whole milk},0.000813421,0.8,3.13091922
{porkdog food} => {whole milk},0.000508388,0.833333333,3.261374188
{brown breaddog food} => {whole milk},0.000813421,0.8,3.13091922
{Instant food productshygiene articles} => {hamburger meat},0.000610066,0.857142857,25.77981651
{frozen vegetablesInstant food products} => {root vegetables},0.000610066,0.857142857,7.86380597
{porkInstant food products} => {other vegetables},0.000813421,0.8,4.134524435
{Instant food productsbottled beer} => {whole milk},0.000610066,1,3.913649025
{whipped/sour creamInstant food products} => {yogurt},0.000610066,0.857142857,6.144314869
{condensed milkwhite bread} => {whole milk},0.000813421,0.8,3.13091922
{specialty cheesecanned fish} => {root vegetables},0.000508388,1,9.174440299
{specialty cheesecat food} => {other vegetables},0.000610066,1,5.168155544
{sliced cheesespecialty cheese} => {other vegetables},0.000711744,0.875,4.522136101
{berriesspecialty cheese} => {yogurt},0.000508388,0.833333333,5.973639456
{beefspecialty cheese} => {yogurt},0.000610066,0.857142857,6.144314869
{specialty cheesepastry} => {whole milk},0.000610066,0.857142857,3.354556307
{semi-finished breadchocolate marshmallow} => {tropical fruit},0.000610066,0.857142857,8.168604651
{hamburger meatchocolate marshmallow} => {whole milk},0.000610066,1,3.913649025
{chickenchocolate marshmallow} => {soda},0.000610066,0.857142857,4.915451895
{beefchocolate marshmallow} => {whole milk},0.000610066,0.857142857,3.354556307
{pip fruitflower (seeds)} => {whole milk},0.000508388,0.833333333,3.261374188
{dessertfrozen potato products} => {other vegetables},0.000508388,0.833333333,4.306796287
{butterfrozen potato products} => {whole milk},0.000610066,0.857142857,3.354556307
{misc. beverageshouse keeping products} => {whole milk},0.000508388,1,3.913649025
{sliced cheesehouse keeping products} => {yogurt},0.000508388,0.833333333,5.973639456
{white breadhouse keeping products} => {yogurt},0.000508388,0.833333333,5.973639456
{frozen vegetableshouse keeping products} => {whole milk},0.000813421,0.8,3.13091922
{napkinshouse keeping products} => {whole milk},0.00132181,0.8125,3.179839833
{frankfurterhouse keeping products} => {whole milk},0.000711744,0.875,3.424442897
{whipped/sour creamhouse keeping products} => {whole milk},0.001220132,0.923076923,3.6125991
{pickled vegetablessweet spreads} => {whole milk},0.000508388,1,3.913649025
{chickensweet spreads} => {root vegetables},0.000508388,1,9.174440299
{beefsweet spreads} => {yogurt},0.000813421,0.8,5.734693878
{pastrysweet spreads} => {whole milk},0.001016777,0.909090909,3.55786275
{turkeybaking powder} => {other vegetables},0.000610066,0.857142857,4.429847609
{turkeygrapes} => {other vegetables},0.000813421,0.888888889,4.593916039
{turkeycat food} => {tropical fruit},0.000508388,0.833333333,7.941698966
{meatturkey} => {other vegetables},0.000610066,0.857142857,4.429847609
{turkeybutter milk} => {other vegetables},0.000610066,0.857142857,4.429847609
{turkeycandy} => {root vegetables},0.000508388,0.833333333,7.645366915
{turkeycandy} => {other vegetables},0.000508388,0.833333333,4.306796287
{turkeycandy} => {whole milk},0.000508388,0.833333333,3.261374188
{turkeyoil} => {other vegetables},0.000813421,1,5.168155544
{turkeyhamburger meat} => {yogurt},0.000508388,1,7.168367347
{turkeyhamburger meat} => {whole milk},0.000508388,1,3.913649025
{turkeylong life bakery product} => {other vegetables},0.000508388,0.833333333,4.306796287
{turkeylong life bakery product} => {whole milk},0.000508388,0.833333333,3.261374188
{chickenturkey} => {whole milk},0.000508388,0.833333333,3.261374188
{turkeycurd} => {other vegetables},0.001220132,0.8,4.134524435
{turkeynapkins} => {root vegetables},0.000508388,0.833333333,7.645366915
{ricebaking powder} => {root vegetables},0.000508388,0.833333333,7.645366915
{ricebaking powder} => {other vegetables},0.000508388,0.833333333,4.306796287
{ricebaking powder} => {whole milk},0.000610066,1,3.913649025
{hard cheeserice} => {whole milk},0.000915099,0.9,3.522284123
{sliced cheeserice} => {tropical fruit},0.000508388,1,9.53003876
{sliced cheeserice} => {root vegetables},0.000508388,1,9.174440299
{sliced cheeserice} => {yogurt},0.000508388,1,7.168367347
{sliced cheeserice} => {whole milk},0.000508388,1,3.913649025
{riceoil} => {whole milk},0.000813421,0.888888889,3.478799133
{onionsrice} => {yogurt},0.000610066,0.857142857,6.144314869
{onionsrice} => {whole milk},0.000610066,0.857142857,3.354556307
{ricesugar} => {whole milk},0.001220132,1,3.913649025
{ricelong life bakery product} => {root vegetables},0.000610066,0.857142857,7.86380597
{ricelong life bakery product} => {whole milk},0.000610066,0.857142857,3.354556307
{white breadrice} => {yogurt},0.000508388,0.833333333,5.973639456
{white breadrice} => {other vegetables},0.000508388,0.833333333,4.306796287
{white breadrice} => {whole milk},0.000508388,0.833333333,3.261374188
{curdrice} => {other vegetables},0.000711744,0.875,4.522136101
{ricenapkins} => {whole milk},0.000915099,0.818181818,3.202076475
{frankfurterrice} => {whole milk},0.000610066,0.857142857,3.354556307
{butterrice} => {whole milk},0.001525165,0.833333333,3.261374188
{ricenewspapers} => {root vegetables},0.000508388,0.833333333,7.645366915
{domestic eggsrice} => {whole milk},0.001118454,0.846153846,3.311549175
{pastryrice} => {other vegetables},0.000711744,0.875,4.522136101
{ricebottled water} => {whole milk},0.001220132,0.923076923,3.6125991
{yogurtrice} => {other vegetables},0.001931876,0.826086957,4.269345884
{spread cheesehygiene articles} => {other vegetables},0.000508388,1,5.168155544
{processed cheesemayonnaise} => {whole milk},0.000508388,1,3.913649025
{butter milkmayonnaise} => {other vegetables},0.000508388,0.833333333,4.306796287
{mayonnaiseoil} => {chocolate},0.000508388,0.833333333,16.79474044
{mayonnaiseoil} => {whole milk},0.000508388,0.833333333,3.261374188
{mayonnaisesugar} => {curd},0.000508388,0.833333333,15.64090331
{mayonnaisesugar} => {margarine},0.000508388,0.833333333,14.22887731
{mayonnaisesugar} => {whole milk},0.000508388,0.833333333,3.261374188
{mayonnaisenapkins} => {yogurt},0.000508388,0.833333333,5.973639456
{soft cheesesalt} => {root vegetables},0.000508388,0.833333333,7.645366915
{soft cheesesalt} => {whole milk},0.000508388,0.833333333,3.261374188
{sliced cheesesalt} => {other vegetables},0.000610066,0.857142857,4.429847609
{frozen dessertbaking powder} => {other vegetables},0.000610066,0.857142857,4.429847609
{grapesfrozen dessert} => {other vegetables},0.000610066,0.857142857,4.429847609
{frozen dessertbrown bread} => {whole milk},0.000610066,0.857142857,3.354556307
{herbspackaged fruit/vegetables} => {root vegetables},0.000508388,0.833333333,7.645366915
{canned vegetablescake bar} => {other vegetables},0.000508388,0.833333333,4.306796287
{semi-finished breadcanned vegetables} => {other vegetables},0.000508388,1,5.168155544
{chickencanned vegetables} => {other vegetables},0.000711744,0.875,4.522136101
{roll products pasta} => {root vegetables},0.000508388,0.833333333,7.645366915
{roll products pasta} => {other vegetables},0.000508388,0.833333333,4.306796287
{roll products detergent} => {other vegetables},0.000508388,1,5.168155544
{soft cheeseroll products } => {yogurt},0.000610066,0.857142857,6.144314869
{soft cheeseroll products } => {other vegetables},0.000610066,0.857142857,4.429847609
{butter milkroll products } => {other vegetables},0.000610066,1,5.168155544
{hamroll products } => {whole milk},0.000508388,1,3.913649025
{sliced cheeseroll products } => {whole milk},0.000610066,1,3.913649025
{hamburger meatroll products } => {other vegetables},0.000915099,0.9,4.651339989
{roll products salty snack} => {other vegetables},0.000508388,0.833333333,4.306796287
{roll products salty snack} => {whole milk},0.000508388,0.833333333,3.261374188
{roll products waffles} => {whole milk},0.000508388,0.833333333,3.261374188
{frankfurterroll products } => {whole milk},0.000813421,0.8,3.13091922
{brown breadroll products } => {other vegetables},0.000813421,0.8,4.134524435
{frozen fishflour} => {sugar},0.000508388,0.833333333,24.61211211
{onionsfrozen fish} => {whole milk},0.000813421,0.8,3.13091922
{curdfrozen fish} => {whole milk},0.000915099,1,3.913649025
{whipped/sour creamfrozen fish} => {whole milk},0.000610066,0.857142857,3.354556307
{cake barseasonal products} => {whole milk},0.000508388,0.833333333,3.261374188
{onionscake bar} => {other vegetables},0.000508388,0.833333333,4.306796287
{frankfurtercake bar} => {whole milk},0.000813421,0.8,3.13091922
{chickenseasonal products} => {yogurt},0.000610066,0.857142857,6.144314869
{detergentdishes} => {whole milk},0.000508388,0.833333333,3.261374188
{grapesmustard} => {onions},0.000508388,0.833333333,26.8715847
{oilmustard} => {whole milk},0.001220132,0.857142857,3.354556307
{white breadmustard} => {whole milk},0.000508388,0.833333333,3.261374188
{buttermustard} => {whole milk},0.000813421,0.888888889,3.478799133
{whipped/sour creammustard} => {whole milk},0.000813421,0.8,3.13091922
{hamred/blush wine} => {whole milk},0.000610066,0.857142857,3.354556307
{red/blush winehygiene articles} => {citrus fruit},0.000508388,0.833333333,10.06859132
{red/blush winehygiene articles} => {whole milk},0.000508388,0.833333333,3.261374188
{frozen vegetablesred/blush wine} => {whole milk},0.000813421,0.8,3.13091922
{semi-finished breadpot plants} => {whole milk},0.000610066,1,3.913649025
{baking powderpot plants} => {tropical fruit},0.000508388,1,9.53003876
{misc. beveragespot plants} => {whole milk},0.000508388,0.833333333,3.261374188
{frankfurterpot plants} => {margarine},0.000508388,0.833333333,14.22887731
{cat foodchewing gum} => {other vegetables},0.000610066,1,5.168155544
{flourcanned fish} => {whole milk},0.000508388,0.833333333,3.261374188
{soft cheesecanned fish} => {cream cheese },0.000610066,0.857142857,21.61538462
{canned fishhygiene articles} => {whole milk},0.001118454,1,3.913649025
{chickencanned fish} => {other vegetables},0.000610066,1,5.168155544
{beveragespasta} => {whole milk},0.000508388,1,3.913649025
{butter milkpasta} => {yogurt},0.000610066,0.857142857,6.144314869
{herbsprocessed cheese} => {other vegetables},0.000508388,0.833333333,4.306796287
{herbsprocessed cheese} => {whole milk},0.000508388,0.833333333,3.261374188
{herbsice cream} => {other vegetables},0.000508388,0.833333333,4.306796287
{herbsbutter milk} => {root vegetables},0.000508388,0.833333333,7.645366915
{herbsbutter milk} => {whole milk},0.000610066,1,3.913649025
{herbslong life bakery product} => {root vegetables},0.000610066,1,9.174440299
{herbslong life bakery product} => {whole milk},0.000508388,0.833333333,3.261374188
{herbscoffee} => {whole milk},0.000610066,0.857142857,3.354556307
{herbsfruit/vegetable juice} => {other vegetables},0.001220132,0.8,4.134524435
{herbspastry} => {whole milk},0.000610066,0.857142857,3.354556307
{herbsshopping bags} => {other vegetables},0.001931876,0.826086957,4.269345884
{tropical fruitherbs} => {whole milk},0.002338587,0.821428571,3.214783128
{herbsrolls/buns} => {whole milk},0.002440264,0.8,3.13091922
{soft cheeseprocessed cheese} => {whole milk},0.000610066,0.857142857,3.354556307
{processed cheesemisc. beverages} => {tropical fruit},0.000508388,0.833333333,7.941698966
{processed cheesehygiene articles} => {whole milk},0.000813421,0.8,3.13091922
{chickenprocessed cheese} => {whole milk},0.000915099,0.818181818,3.202076475
{semi-finished breadpickled vegetables} => {soda},0.000610066,0.857142857,4.915451895
{soft cheesesemi-finished bread} => {tropical fruit},0.000711744,0.875,8.338783915
{grapessemi-finished bread} => {tropical fruit},0.000610066,0.857142857,8.168604651
{semi-finished breadspecialty chocolate} => {pastry},0.000711744,0.875,9.835
{sliced cheesesemi-finished bread} => {other vegetables},0.000813421,0.888888889,4.593916039
{beveragessoft cheese} => {other vegetables},0.000508388,0.833333333,4.306796287
{beveragessoft cheese} => {whole milk},0.000508388,0.833333333,3.261374188
{ice creambaking powder} => {other vegetables},0.000508388,1,5.168155544
{meatdetergent} => {whole milk},0.000915099,0.818181818,3.202076475
{hard cheesedetergent} => {whole milk},0.000610066,0.857142857,3.354556307
{sugarpickled vegetables} => {whole milk},0.000508388,0.833333333,3.261374188
{pickled vegetableschocolate} => {whole milk},0.001220132,0.857142857,3.354556307
{baking powderspecialty chocolate} => {whole milk},0.000610066,1,3.913649025
{butter milkbaking powder} => {whole milk},0.000610066,0.857142857,3.354556307
{baking powdercandy} => {whole milk},0.000711744,0.875,3.424442897
{dessertbaking powder} => {other vegetables},0.000508388,0.833333333,4.306796287
{grapesflour} => {citrus fruit},0.000508388,0.833333333,10.06859132
{hamflour} => {whole milk},0.000508388,1,3.913649025
{UHT-milkflour} => {other vegetables},0.000508388,0.833333333,4.306796287
{soft cheesewaffles} => {whole milk},0.000915099,0.818181818,3.202076475
{hard cheesespecialty bar} => {other vegetables},0.000508388,0.833333333,4.306796287
{grapesspecialty chocolate} => {other vegetables},0.000610066,0.857142857,4.429847609
{grapesonions} => {other vegetables},0.001118454,0.916666667,4.737475915
{hard cheesecat food} => {whole milk},0.000915099,0.818181818,3.202076475
{cat foodlong life bakery product} => {chocolate},0.000508388,0.833333333,16.79474044
{oilspecialty chocolate} => {whole milk},0.000915099,0.818181818,3.202076475
{sugarspecialty chocolate} => {root vegetables},0.000508388,0.833333333,7.645366915
{meatmargarine} => {other vegetables},0.001728521,0.85,4.392932212
{hard cheeseoil} => {other vegetables},0.001118454,0.916666667,4.737475915
{chickenhard cheese} => {yogurt},0.000915099,0.818181818,5.865027829
{butter milkcandy} => {other vegetables},0.000813421,0.8,4.134524435
{butter milkcandy} => {whole milk},0.000813421,0.8,3.13091922
{onionsbutter milk} => {other vegetables},0.00132181,0.8125,4.199126379
{porkbutter milk} => {other vegetables},0.001830198,0.857142857,4.429847609
{onionswaffles} => {other vegetables},0.001220132,0.8,4.134524435
{hamburger meatcurd} => {whole milk},0.002541942,0.806451613,3.156168569
{hamburger meatbottled beer} => {whole milk},0.001728521,0.80952381,3.168192068
{other vegetablesrolls/bunsskin care} => {whole milk},0.000508388,0.833333333,3.261374188
{root vegetablesother vegetablesspecialty fat} => {whole milk},0.000508388,0.833333333,3.261374188
{root vegetableswhole milkspecialty fat} => {other vegetables},0.000508388,1,5.168155544
{other vegetableswhole milkspecialty fat} => {root vegetables},0.000508388,0.833333333,7.645366915
{liver loafother vegetableswhole milk} => {root vegetables},0.000508388,0.833333333,7.645366915
{tropical fruitcurd cheesehygiene articles} => {whole milk},0.000508388,1,3.913649025
{whole milkcurd cheesehygiene articles} => {tropical fruit},0.000508388,1,9.53003876
{tropical fruitcurd cheesefruit/vegetable juice} => {other vegetables},0.000508388,0.833333333,4.306796287
{other vegetablescurd cheesefruit/vegetable juice} => {tropical fruit},0.000508388,0.833333333,7.941698966
{other vegetableswhipped/sour creamcleaner} => {whole milk},0.000610066,0.857142857,3.354556307
{whole milkwhipped/sour creamcleaner} => {other vegetables},0.000610066,0.857142857,4.429847609
{sodaliquor (appetizer)newspapers} => {canned beer},0.000711744,0.875,11.26390707
{sodaliquorred/blush wine} => {bottled beer},0.000813421,1,12.41792929
{tropical fruitcurdcereals} => {yogurt},0.000508388,1,7.168367347
{tropical fruitcurdcereals} => {whole milk},0.000508388,1,3.913649025
{curdyogurtcereals} => {whole milk},0.000813421,1,3.913649025
{whole milkcurdcereals} => {yogurt},0.000813421,0.8,5.734693878
{yogurtbrown breadcereals} => {whole milk},0.000508388,1,3.913649025
{whole milkbrown breadcereals} => {yogurt},0.000508388,0.833333333,5.973639456
{pip fruityogurtcereals} => {whole milk},0.000508388,0.833333333,3.261374188
{tropical fruitpastrycereals} => {yogurt},0.000508388,0.833333333,5.973639456
{tropical fruitpastrycereals} => {whole milk},0.000508388,0.833333333,3.261374188
{tropical fruityogurtcereals} => {whole milk},0.000610066,0.857142857,3.354556307
{root vegetablesyogurtcereals} => {whole milk},0.000610066,0.857142857,3.354556307
{other vegetablesyogurtcereals} => {whole milk},0.000711744,0.875,3.424442897
{root vegetablesjamwaffles} => {whole milk},0.000508388,1,3.913649025
{whole milkjamwaffles} => {root vegetables},0.000508388,0.833333333,7.645366915
{root vegetablesjamnapkins} => {other vegetables},0.000508388,0.833333333,4.306796287
{other vegetablesjamnapkins} => {root vegetables},0.000508388,1,9.174440299
{root vegetablesjamnapkins} => {whole milk},0.000508388,0.833333333,3.261374188
{whole milkjamnapkins} => {root vegetables},0.000508388,0.833333333,7.645366915
{root vegetablesbutterjam} => {whole milk},0.000508388,0.833333333,3.261374188
{butterrolls/bunsjam} => {whole milk},0.000508388,0.833333333,3.261374188
{root vegetableswhipped/sour creamjam} => {whole milk},0.000508388,1,3.913649025
{whole milkwhipped/sour creamjam} => {root vegetables},0.000508388,0.833333333,7.645366915
{root vegetablesjamsoda} => {whole milk},0.000508388,0.833333333,3.261374188
{root vegetablesyogurtjam} => {whole milk},0.000508388,0.833333333,3.261374188
{other vegetablesrolls/bunsjam} => {root vegetables},0.000610066,0.857142857,7.86380597
{other vegetablesjamsoda} => {whole milk},0.000508388,0.833333333,3.261374188
{tropical fruitinstant coffeenewspapers} => {soda},0.000508388,0.833333333,4.778911565
{root vegetableswhipped/sour creaminstant coffee} => {other vegetables},0.000508388,0.833333333,4.306796287
{whipped/sour creaminstant coffeesoda} => {other vegetables},0.000610066,0.857142857,4.429847609
{yogurtwhipped/sour creaminstant coffee} => {other vegetables},0.000711744,0.875,4.522136101
{other vegetablesyogurtinstant coffee} => {whipped/sour cream},0.000711744,0.875,12.20656028
{whole milkwhipped/sour creaminstant coffee} => {yogurt},0.000508388,0.833333333,5.973639456
{whole milkwhipped/sour creaminstant coffee} => {other vegetables},0.000508388,0.833333333,4.306796287
{root vegetablesinstant coffeesoda} => {other vegetables},0.000508388,1,5.168155544
{other vegetablesvinegardetergent} => {whole milk},0.000508388,1,3.913649025
{whole milkvinegardetergent} => {other vegetables},0.000508388,1,5.168155544
{other vegetablescream cheese vinegar} => {whole milk},0.000610066,0.857142857,3.354556307
{whole milkcream cheese vinegar} => {other vegetables},0.000610066,0.857142857,4.429847609
{citrus fruityogurtvinegar} => {other vegetables},0.000508388,1,5.168155544
{citrus fruitwhole milkvinegar} => {other vegetables},0.000610066,1,5.168155544
{sodabottled beerpopcorn} => {salty snack},0.000508388,0.833333333,22.03181004
{pip fruitcat foodpet care} => {tropical fruit},0.000508388,1,9.53003876
{tropical fruitcat foodpet care} => {pip fruit},0.000508388,1,13.21908602
{tropical fruitpip fruitpet care} => {cat food},0.000508388,0.833333333,35.78966521
{beefother vegetablescandles} => {root vegetables},0.000508388,0.833333333,7.645366915
{whole milkyogurtcandles} => {rolls/buns},0.000610066,1,5.436705362
{whipped/sour creamfrozen vegetablessoups} => {other vegetables},0.000508388,0.833333333,4.306796287
{whole milkfrozen vegetablessoups} => {other vegetables},0.000508388,1,5.168155544
{frankfurterroot vegetablessoups} => {other vegetables},0.000508388,1,5.168155544
{soupsbottled waterbottled beer} => {whole milk},0.000508388,1,3.913649025
{whole milksoupsbottled water} => {bottled beer},0.000508388,0.833333333,10.34827441
{other vegetablessoupsbottled beer} => {whole milk},0.000508388,0.833333333,3.261374188
{root vegetablesdomestic eggssoups} => {other vegetables},0.000508388,0.833333333,4.306796287
{other vegetablesdomestic eggssoups} => {whole milk},0.000711744,0.875,3.424442897
{whole milkdomestic eggssoups} => {other vegetables},0.000711744,1,5.168155544
{other vegetableswhipped/sour creamsoups} => {whole milk},0.000813421,0.8,3.13091922
{whole milkwhipped/sour creamsoups} => {other vegetables},0.000813421,0.888888889,4.593916039
{root vegetableswhole milksoups} => {other vegetables},0.000915099,0.818181818,4.2284909
{yogurthard cheesedog food} => {whole milk},0.000508388,1,3.913649025
{whole milkhard cheesedog food} => {yogurt},0.000508388,0.833333333,5.973639456
{tropical fruitdog foodlong life bakery product} => {yogurt},0.000508388,1,7.168367347
{yogurtdog foodlong life bakery product} => {tropical fruit},0.000508388,1,9.53003876
{frozen vegetablesdog foodfruit/vegetable juice} => {whole milk},0.000508388,1,3.913649025
{root vegetablesfrozen vegetablesdog food} => {other vegetables},0.000508388,1,5.168155544
{other vegetablesfrozen vegetablesdog food} => {whole milk},0.000610066,0.857142857,3.354556307
{dog foodbottled waterfruit/vegetable juice} => {tropical fruit},0.000610066,1,9.53003876
{dog foodbottled waterfruit/vegetable juice} => {whole milk},0.000508388,0.833333333,3.261374188
{whole milkdog foodbottled water} => {fruit/vegetable juice},0.000508388,0.833333333,11.52719175
{yogurtdog foodfruit/vegetable juice} => {tropical fruit},0.000610066,1,9.53003876
{other vegetablesdog foodfruit/vegetable juice} => {tropical fruit},0.000508388,0.833333333,7.941698966
{tropical fruitdog foodfruit/vegetable juice} => {whole milk},0.000711744,0.875,3.424442897
{whole milkdog foodfruit/vegetable juice} => {tropical fruit},0.000711744,0.875,8.338783915
{yogurtdog foodfruit/vegetable juice} => {whole milk},0.000610066,1,3.913649025
{other vegetablesdog foodfruit/vegetable juice} => {whole milk},0.000610066,1,3.913649025
{citrus fruityogurtdog food} => {whole milk},0.000508388,0.833333333,3.261374188
{citrus fruitother vegetablesdog food} => {whole milk},0.000508388,1,3.913649025
{yogurtdog foodbottled water} => {tropical fruit},0.000610066,0.857142857,8.168604651
{other vegetablesdog foodbottled water} => {tropical fruit},0.000508388,1,9.53003876
{whole milkdog foodbottled water} => {tropical fruit},0.000610066,1,9.53003876
{whole milkdog foodbottled water} => {yogurt},0.000508388,0.833333333,5.973639456
{tropical fruitroot vegetablesdog food} => {other vegetables},0.000508388,1,5.168155544
{tropical fruitroot vegetablesdog food} => {whole milk},0.000508388,1,3.913649025
{other vegetablesyogurtdog food} => {tropical fruit},0.000610066,1,9.53003876
{tropical fruityogurtdog food} => {whole milk},0.000813421,0.8,3.13091922
{tropical fruitwhole milkdog food} => {yogurt},0.000813421,0.8,5.734693878
{tropical fruitother vegetablesdog food} => {whole milk},0.000711744,0.875,3.424442897
{root vegetablesyogurtdog food} => {whole milk},0.000610066,1,3.913649025
{other vegetablesyogurtdog food} => {whole milk},0.000610066,1,3.913649025
{porkwhole milkInstant food products} => {other vegetables},0.000610066,1,5.168155544
{citrus fruityogurtInstant food products} => {whole milk},0.000508388,0.833333333,3.261374188
{citrus fruitwhole milkInstant food products} => {yogurt},0.000508388,0.833333333,5.973639456
{tropical fruityogurtInstant food products} => {whole milk},0.000610066,1,3.913649025
{other vegetablesyogurtInstant food products} => {whole milk},0.000508388,0.833333333,3.261374188
{root vegetablessliced cheesespecialty cheese} => {other vegetables},0.000508388,1,5.168155544
{butteryogurtspecialty cheese} => {whole milk},0.000508388,0.833333333,3.261374188
{pip fruityogurtspecialty cheese} => {whole milk},0.000508388,1,3.913649025
{pip fruitwhole milkspecialty cheese} => {yogurt},0.000508388,0.833333333,5.973639456
